model,split,n,seeds,parameters,vmin_rmse_mean,vmin_rmse_sd,loss_rmse_mean_kw,loss_rmse_sd_kw,delta_voltage_rmse,delta_loss_rmse_kw
Full single member,test converged,605,3,23252,0.0074978866074791,0.001140050526734,49.32816493058615,14.236522536513569,0.0,0.0
No learned reliability,test converged,605,3,23252,0.007070898745809,0.0012948014845165,57.40104788567112,17.137348697691664,-0.00042698786167010006,8.072882955084971
No physics residual,test converged,605,3,23252,0.0224493251923838,0.0045627975178093,81.88591114477283,37.85233066452331,0.014951438584904699,32.557746214186686
No graph propagation,test converged,605,3,23252,0.0077939696339828,0.0009250255769836,51.429578215037445,13.775615206194091,0.0002960830265037002,2.101413284451297
No auxiliary loss,test converged,605,3,23252,0.0052911533895375,0.0005503704190882,24.97894523845451,0.8848426818535648,-0.0022067332179415994,-24.349219692131637
Adaptive context gate control,test converged,605,3,23252,0.0074880983622895,0.0024215248192757,43.3613012635907,15.802141263455184,-9.788245189599684e-06,-5.966863666995451
No scaled regression loss,test converged,605,3,23252,0.0132500664852204,0.0057342872773702,35.23461014431278,3.978067920843906,0.0057521798777413,-14.093554786273366
No dropout or weight decay,test converged,605,3,23252,0.0069445305679008,0.000868354949004,49.661101547780085,5.5831879970629466,-0.0005533560395782995,0.33293661719393697
Parameter-matched node MLP,test converged,605,3,23252,0.0076423408182959,0.0013215844846948,48.972046835640946,14.54645443914256,0.00014445421081680024,-0.3561180949452023
Physical component only,test converged,605,1,0,0.0208578285075443,,132.2684652245731,,0.0133599419000652,82.94030029398695
