model,split,n,train_time_s,inference_ms,inference_iqr_ms,peak_process_rss_mib,added_rss_mib,serialized_mib,trainable_parameters,inference_relative_to_ridge,observations_per_second
LinearDistFlow,test,618,1.95419997908175e-05,1.516997133016972e-05,3.707112177820652e-06,606.375,0.046875,0.0,,0.0246603917624988,65919702.69655164
Ridge,test,618,0.0080053330166265,0.0006151553258468,0.0001961309960093,608.328125,0.1875,0.0030784606933593,,1.0,1625605.693364415
RandomForest,test,618,2.2446827499661595,0.05265574442286,0.0004617718288005,259.0,5.75,21.21094799041748,,85.59747792214276,18991.280266960945
ExtraTrees,test,618,1.0958985419711098,0.063714063063288,9.452594477310504e-05,287.640625,3.859375,39.64069652557373,,103.57394366306036,15695.122111529556
MLP,test,618,0.8907731670187786,0.000980312232995,0.0003236925197783,148.046875,2.5,0.229039192199707,13683.0,1.5936011472314549,1020083.1595713653
XGBoost,test,618,0.5571535829803906,0.0064951456400556,0.000197815439064,189.8125,1.65625,1.7300682067871094,,10.55854573170544,153961.13581087303
LightGBM,test,618,0.4098264999920502,0.0560306763113702,0.0003565259731425,207.265625,3.328125,2.0222463607788086,,91.08378641482206,17847.36622565221
GCN Direct,test,618,5.023195417015813,0.0617798010164624,0.0015647912738561,733.078125,272.28125,0.0777482986450195,18452.0,100.42959626728197,16186.520246860799
Physics-Residual GCN,test,618,2.874070874997414,0.0581121892354851,0.0062242443605497,638.3125,33.046875,0.0779962539672851,18452.0,94.46750567507485,17208.093743427053
ACG-MAC Ensemble,test,618,22.70441900100559,0.4026463721889375,0.0106771180819129,864.875,721.1875,0.4810380935668945,116260.0,654.5442350428641,2483.5688809602902
