model,split,n,vmin_rmse,vmin_mae,vmin_r2,loss_rmse_kw,loss_mae_kw,loss_r2
LinearDistFlow,external zero-shot converged,800,0.003115509759508588,0.0024235447496175765,0.9856433718792077,14.977810295835006,10.518520817756652,0.9592861244067448
Ridge,external zero-shot converged,800,0.015599601667798706,0.015445920974016189,0.6400673559728968,114.21574149622707,96.30443420171737,-1.3675421581937157
RandomForest,external zero-shot converged,800,0.0022473877745152588,0.0015472341576228026,0.9925294900764267,10.127348162647943,4.388106018732842,0.9813861043385691
ExtraTrees,external zero-shot converged,800,0.007793901709662529,0.0070605908232380735,0.910152899162562,16.378059677315978,9.721944601338949,0.9513177443783363
MLP,external zero-shot converged,800,0.06515641930679632,0.05757391668856144,-5.279262487055409,94.20924311998444,78.69338900685311,-0.6107673698830165
XGBoost,external zero-shot converged,800,0.008843873822359545,0.008378135114908218,0.8843144023751731,7.202903229971409,4.5246541833877565,0.9905841191505392
LightGBM,external zero-shot converged,800,0.0030879792408170796,0.002733424161442027,0.9858959784418833,7.201346419437101,4.569390003083341,0.9905881889423671
GCN Direct,external zero-shot converged,800,15.4083060603476,15.408288743719458,-351158.1682821915,9.808007360394179e+33,9.79577520719582e+33,-1.7458517402232877e+64
Physics-Residual GCN,external zero-shot converged,800,2.2318732091505757,2.2318202470988036,-7366.7224480839195,2561482.4736596853,2224474.2280695583,-1190771881.8220315
ACG-MAC Ensemble,external zero-shot converged,800,0.4405547888355382,0.4404033575206995,-286.07413949796523,1116969.218753471,954378.5354523706,-226426994.61876446
