model,split,n,loss_rmse_kw,loss_mae_kw,loss_r2,rmse_rank
LinearDistFlow,test converged,605,132.26846522457313,46.21497626816931,0.737799257901385,10
Ridge,test converged,605,47.49425233717522,20.853614580138657,0.9661932518169176,2
RandomForest,test converged,605,90.5161657779864,19.880342186599457,0.8772070066547513,7
ExtraTrees,test converged,605,125.86922989517358,32.30241088192782,0.7625564164227187,9
MLP,test converged,605,38.42851511912362,14.377052373334395,0.9778676007834126,1
XGBoost,test converged,605,79.95162069194278,17.580177379639682,0.9041977229816743,5
LightGBM,test converged,605,105.58679744299245,21.595978978313656,0.8329138227342126,8
GCN Direct,test converged,605,88.47975944144211,45.41516696520088,0.8826699773681153,6
Physics-Residual GCN,test converged,605,58.33014501056823,15.700910032288101,0.949007371351905,4
ACG-MAC Ensemble,test converged,605,48.771030491862696,12.559648025134377,0.9643511805745714,3
