model,split,n,folds,vmin_rmse_mean,vmin_rmse_sd,loss_rmse_mean_kw,loss_rmse_sd_kw
LinearDistFlow,training OOF,2146,3,0.009802912912801666,0.003452088567148433,48.70234770264229,21.134253247871087
Ridge,training OOF,2146,3,0.0030234456237947667,0.0006349981933612073,56.805745052272194,28.214922674079784
RandomForest,training OOF,2146,3,0.004325032445620234,0.0012095030239922787,28.173667854450613,27.7004091748326
ExtraTrees,training OOF,2146,3,0.0044368884417329,0.0012586519940196918,28.310447380980168,28.4356764291525
MLP,training OOF,2146,3,0.006989851284274867,0.0006329558348500961,25.800960664137047,19.53299109173503
XGBoost,training OOF,2146,3,0.0042477856368035,0.0015774394174967242,18.94929728759341,20.178984164159818
LightGBM,training OOF,2146,3,0.0043923402672759,0.002577058715434104,26.803457941544735,26.26709226315649
GCN Direct,training OOF,2146,3,0.022264411407359002,0.0053307281326241615,85.65693242911682,51.03615627340796
Physics-Residual GCN,training OOF,2146,3,0.0037095511577383672,0.0006287439376692355,12.387242710290487,5.493545813779007
ACG-MAC Ensemble,training OOF,2146,3,0.0026947040807114666,0.0005621160589682428,12.376329212979309,5.390869631387275
