model,baseline,split,n,target,mean_difference,ci_low,ci_high,p_holm,practical_margin,practical_gain_supported
ACG-MAC Ensemble,LinearDistFlow,test converged,605,Vmin MAE,-0.0065669487230479,-0.0145884092426296,-0.0017540158182981,0.0703125,0.001,False
ACG-MAC Ensemble,LinearDistFlow,test converged,605,Loss MAE kW,-33.65532684326172,-77.12012423663072,-9.760863355377984,0.0703125,5.0,False
ACG-MAC Ensemble,Ridge,test converged,605,Vmin MAE,-0.0010380103485658,-0.0025740495815563,-0.0001705433708245,0.21875,0.001,False
ACG-MAC Ensemble,Ridge,test converged,605,Loss MAE kW,-8.293966293334961,-13.523493380270365,-3.6201963937560113,0.2734375,5.0,False
ACG-MAC Ensemble,RandomForest,test converged,605,Vmin MAE,-0.0017848742040655,-0.0045465471512732,-0.000347729873151,0.0703125,0.001,False
ACG-MAC Ensemble,RandomForest,test converged,605,Loss MAE kW,-7.320694161465079,-22.84106865948866,0.2327214729187407,1.0,5.0,False
ACG-MAC Ensemble,ExtraTrees,test converged,605,Vmin MAE,-0.0035707454411885,-0.0105659041280742,-0.0001906935982396,0.10546875,0.001,False
ACG-MAC Ensemble,ExtraTrees,test converged,605,Loss MAE kW,-19.742762856793437,-62.3016364387469,0.5363002295719493,1.0,5.0,False
ACG-MAC Ensemble,MLP,test converged,605,Vmin MAE,-0.0030410699546337,-0.0054020179311244,-0.0017042800552363,0.0703125,0.001,False
ACG-MAC Ensemble,MLP,test converged,605,Loss MAE kW,-1.8174041509628296,-3.9459413800020338,0.7078268774059199,0.984375,5.0,False
ACG-MAC Ensemble,XGBoost,test converged,605,Vmin MAE,-0.0024710053112357,-0.0066606947366081,-0.0002310145020863,0.0703125,0.001,False
ACG-MAC Ensemble,XGBoost,test converged,605,Loss MAE kW,-5.020529270172119,-17.036155995790246,0.9904186923306572,1.0,5.0,False
ACG-MAC Ensemble,LightGBM,test converged,605,Vmin MAE,-0.001796623447959,-0.0057376432906264,0.000218657626647,1.0,0.001,False
ACG-MAC Ensemble,LightGBM,test converged,605,Loss MAE kW,-9.036330953179275,-29.4525606406976,0.9007508766308232,1.0,5.0,False
ACG-MAC Ensemble,GCN Direct,test converged,605,Vmin MAE,-0.0111257433891296,-0.0183928828449076,-0.0060935545745526,0.0703125,0.001,False
ACG-MAC Ensemble,GCN Direct,test converged,605,Loss MAE kW,-32.85552215576172,-58.8172625087068,-15.698908088969414,0.0703125,5.0,False
ACG-MAC Ensemble,Physics-Residual GCN,test converged,605,Vmin MAE,-0.0013822223991155,-0.0023974179163937,-0.0007750320052382,0.0703125,0.001,False
ACG-MAC Ensemble,Physics-Residual GCN,test converged,605,Loss MAE kW,-3.1412618160247803,-8.438809841966275,-0.4817152627554045,0.078125,5.0,False
