model,split,n,auroc,auprc,f1,brier,log_loss,ece,calibration_slope
LinearDistFlow,test,618,0.9929006085192698,0.946969696969697,0.9727626459143969,0.010804491574496117,0.04535140449644488,0.004129208949144824,1.0931888563580419
Ridge,test,618,0.9981176470588236,0.992582189222722,0.9457364341085271,0.015110067786901068,0.048774761426611545,0.016724117595363863,1.2370611152871518
RandomForest,test,618,0.9998377281947262,0.9993724854160673,0.9841269841269841,0.004094017755584949,0.012557292094724393,0.004026631058753676,1.4439870808856483
ExtraTrees,test,618,0.9985233265720082,0.9943131691268013,0.9494163424124513,0.014196172764463425,0.04668958733675475,0.015631303619369215,1.2020290085788439
MLP,test,618,0.9990588235294118,0.9965345564278326,0.9425287356321839,0.013639300081309539,0.04191039313976558,0.015426550628718092,1.2630534684024837
XGBoost,test,618,0.999789046653144,0.9991566254961177,0.9841269841269841,0.0033691734720497704,0.016813967842736553,0.0037590938258157533,0.6956770324230509
LightGBM,test,618,0.9984746450304259,0.9898383089225942,0.9841269841269841,0.004281331452528646,0.02167613644411376,0.004895219376361787,0.6347676213426745
GCN Direct,test,618,0.9499553752535497,0.8351907432108366,0.7326732673267327,0.07987821423201892,0.2587836488627943,0.07441693990617348,1.9190179652403943
Physics-Residual GCN,test,618,0.9777038539553753,0.9230331581428329,0.8321167883211679,0.06285997554086992,0.22722908563253474,0.10244031174802674,2.9437935420569694
ACG-MAC Ensemble,test,618,0.9950669371196754,0.9788966022587263,0.8710801393728222,0.028094492060918533,0.10544163920105208,0.04267104097522618,1.801738752293036
