model,split,n,seeds,vmin_rmse_mean,vmin_rmse_sd,loss_rmse_mean_kw,loss_rmse_sd_kw
LinearDistFlow,test converged,605,1,0.0208578276964453,,132.2684666336803,
Ridge,test converged,605,3,0.0095494761341952,0.0,47.49425335303736,0.0
RandomForest,test converged,605,3,0.013226515636772365,0.000448811385043843,89.20048306637777,1.4744248670128985
ExtraTrees,test converged,605,3,0.018372470539052266,0.0006329229349426379,124.40322438988022,2.1972688329793675
MLP,test converged,605,3,0.011474123501583533,0.0013119112256675203,29.668188480681135,7.678919340019685
XGBoost,test converged,605,3,0.016774029971910298,0.0007471939742235282,82.92829730666843,4.577305700432799
LightGBM,test converged,605,3,0.016684541398102035,0.00021280482718178154,105.26701574988489,2.562746351468709
GCN Direct,test converged,605,3,0.021164650236152032,0.0024846776315171066,91.26095686394792,28.30884216450838
Physics-Residual GCN,test converged,605,3,0.007903881260244066,0.0009636339364544582,41.96393380470391,14.271945359692557
ACG-MAC Full,test converged,605,5,0.00740557237282378,0.0008380337010579907,49.236652951369095,11.245148203406842
