model,split,n,missing_fraction,noise_sd,age,vmin_rmse,vmin_mae,vmin_r2,loss_rmse_kw,loss_mae_kw,loss_r2
LinearDistFlow,paired telemetry stress,99,0.0,0.0,0.0,0.023579972164751058,0.010662942823737559,0.9215298931663938,150.5359488609656,57.99356052128955,0.7538530673167129
XGBoost,paired telemetry stress,99,0.0,0.0,0.0,0.014696932584836345,0.005172821608456698,0.9695160618483039,78.32730007842602,19.385248627325502,0.9333591860201237
ACG-MAC Ensemble,paired telemetry stress,99,0.0,0.0,0.0,0.005348350478830791,0.0021491128988940307,0.9959630126772299,42.14749546892177,12.222993157126687,0.9807044338896196
LinearDistFlow,paired telemetry stress,99,0.1,0.01,0.5,0.023573322985965452,0.010933868812792229,0.9215741415821034,149.25065296787866,58.73999797936642,0.7580383935798808
XGBoost,paired telemetry stress,99,0.1,0.01,0.5,0.01249920353230433,0.004917055669457021,0.9779513325265283,73.16543553452254,19.886611225629093,0.9418531886532631
ACG-MAC Ensemble,paired telemetry stress,99,0.1,0.01,0.5,0.004960245435896878,0.0023476373065601697,0.9965276459538658,37.874047254892574,12.856131755944455,0.9844189251842598
LinearDistFlow,paired telemetry stress,99,0.2,0.02,1.0,0.023426428871796853,0.01080757018291589,0.9225484975001428,147.8358232916722,58.152191374037,0.7626040268340791
XGBoost,paired telemetry stress,99,0.2,0.02,1.0,0.012391472170630675,0.005096695639870383,0.9783297720642853,65.33256878596069,18.549639094959606,0.9536367952123233
ACG-MAC Ensemble,paired telemetry stress,99,0.2,0.02,1.0,0.0057178713266064505,0.002938688403428203,0.9953859061530159,38.377207087631184,13.049221655335089,0.9840021835064395
LinearDistFlow,paired telemetry stress,99,0.4,0.04,2.0,0.024459805177387214,0.011059788742450753,0.915564776983625,152.96632859634897,59.02469789138948,0.7458408989075611
XGBoost,paired telemetry stress,99,0.4,0.04,2.0,0.014402067125446786,0.006182021564907498,0.9707269934972251,71.19186903657226,22.913775261002357,0.9449477885599343
ACG-MAC Ensemble,paired telemetry stress,99,0.4,0.04,2.0,0.009660439320435352,0.006604480622994779,0.986829222241955,52.9593680603994,22.24651011072024,0.969535113252658
