model,split,n,vmin_rmse,vmin_mae,vmin_r2,rmse_rank
LinearDistFlow,test converged,605,0.020857828507544376,0.008972207967900048,0.9274102776374018,9
Ridge,test converged,605,0.00954947615251551,0.003443269591686154,0.9847841559795486,3
RandomForest,test converged,605,0.013572963575220084,0.00419013343891171,0.9692612418615394,5
ExtraTrees,test converged,605,0.01899524004110377,0.005976004676034637,0.9397958370277398,8
MLP,test converged,605,0.011700782591368383,0.005446329097117274,0.9771562830430576,4
XGBoost,test converged,605,0.016909372628280447,0.00487626465884122,0.9522919198747267,7
LightGBM,test converged,605,0.016671610560227076,0.004201882682805165,0.9536241306054102,6
GCN Direct,test converged,605,0.023380743833306447,0.013531002821015917,0.9087876599048096,10
Physics-Residual GCN,test converged,605,0.008908944010306704,0.0037874815877804086,0.9867569075862967,2
ACG-MAC Ensemble,test converged,605,0.006698063861765776,0.0024052592348461307,0.9925142465615088,1
