topology_id,label,n_edges,split
0,base,32,train
1,close_12-22_open_10-11,32,train
2,close_12-22_open_11-12,32,train
3,close_12-22_open_19-20,32,train
4,close_12-22_open_2-19,32,selection
5,close_12-22_open_2-3,32,test
6,close_12-22_open_20-21,32,train
7,close_12-22_open_21-22,32,selection
8,close_12-22_open_3-4,32,selection
9,close_12-22_open_4-5,32,train
10,close_12-22_open_5-6,32,train
11,close_12-22_open_6-7,32,calibration
12,close_12-22_open_7-8,32,selection
13,close_12-22_open_8-9,32,train
14,close_12-22_open_9-10,32,train
15,close_18-33_open_10-11,32,selection
16,close_18-33_open_11-12,32,test
17,close_18-33_open_12-13,32,test
18,close_18-33_open_13-14,32,train
19,close_18-33_open_14-15,32,test
20,close_18-33_open_15-16,32,selection
21,close_18-33_open_16-17,32,train
22,close_18-33_open_17-18,32,test
23,close_18-33_open_26-27,32,train
24,close_18-33_open_27-28,32,train
25,close_18-33_open_28-29,32,test
26,close_18-33_open_29-30,32,train
27,close_18-33_open_30-31,32,calibration
28,close_18-33_open_31-32,32,calibration
29,close_18-33_open_32-33,32,calibration
30,close_18-33_open_6-26,32,train
31,close_18-33_open_6-7,32,train
32,close_18-33_open_7-8,32,train
33,close_18-33_open_8-9,32,calibration
34,close_18-33_open_9-10,32,train
35,close_21-8_open_19-20,32,train
36,close_21-8_open_2-19,32,calibration
37,close_21-8_open_2-3,32,train
38,close_21-8_open_20-21,32,train
39,close_21-8_open_3-4,32,test
40,close_21-8_open_4-5,32,train
41,close_21-8_open_5-6,32,calibration
42,close_21-8_open_6-7,32,calibration
43,close_21-8_open_7-8,32,calibration
44,close_25-29_open_23-24,32,selection
45,close_25-29_open_24-25,32,train
46,close_25-29_open_26-27,32,train
47,close_25-29_open_27-28,32,train
48,close_25-29_open_28-29,32,train
49,close_25-29_open_3-23,32,train
50,close_25-29_open_3-4,32,train
51,close_25-29_open_4-5,32,train
52,close_25-29_open_5-6,32,test
53,close_25-29_open_6-26,32,selection
54,close_9-15_open_10-11,32,train
55,close_9-15_open_11-12,32,train
56,close_9-15_open_12-13,32,train
57,close_9-15_open_13-14,32,train
58,close_9-15_open_14-15,32,test
59,close_9-15_open_9-10,32,selection
