sample_id,network,topology_id,split,converged,fold
0,case33bw,26,train,1,0
1,case33bw,23,train,1,0
2,case33bw,17,test,1,-1
3,case33bw,15,selection,1,-1
4,case33bw,41,calibration,1,-1
5,case33bw,12,selection,1,-1
6,case33bw,30,train,1,2
7,case33bw,44,selection,1,-1
8,case33bw,11,calibration,1,-1
9,case33bw,39,test,1,-1
10,case33bw,52,test,1,-1
11,case33bw,6,train,1,1
12,case33bw,11,calibration,1,-1
13,case33bw,20,selection,1,-1
14,case33bw,48,train,1,0
15,case33bw,18,train,1,0
16,case33bw,4,selection,1,-1
17,case33bw,49,train,1,0
18,case33bw,16,test,1,-1
19,case33bw,48,train,1,0
20,case33bw,9,train,1,2
21,case33bw,48,train,1,0
22,case33bw,49,train,1,0
23,case33bw,50,train,1,0
24,case33bw,4,selection,1,-1
25,case33bw,30,train,1,2
26,case33bw,47,train,1,2
27,case33bw,35,train,1,2
28,case33bw,5,test,1,-1
29,case33bw,49,train,1,0
30,case33bw,19,test,1,-1
31,case33bw,54,train,1,2
32,case33bw,19,test,1,-1
33,case33bw,20,selection,1,-1
34,case33bw,57,train,1,2
35,case33bw,53,selection,1,-1
36,case33bw,50,train,1,0
37,case33bw,23,train,1,0
38,case33bw,8,selection,1,-1
39,case33bw,52,test,1,-1
40,case33bw,52,test,1,-1
41,case33bw,26,train,1,0
42,case33bw,27,calibration,1,-1
43,case33bw,3,train,1,1
44,case33bw,32,train,1,0
45,case33bw,11,calibration,1,-1
46,case33bw,48,train,1,0
47,case33bw,5,test,1,-1
48,case33bw,15,selection,1,-1
49,case33bw,12,selection,1,-1
50,case33bw,20,selection,1,-1
51,case33bw,16,test,1,-1
52,case33bw,52,test,1,-1
53,case33bw,14,train,1,1
54,case33bw,3,train,1,1
55,case33bw,47,train,1,2
56,case33bw,41,calibration,1,-1
57,case33bw,27,calibration,1,-1
58,case33bw,1,train,1,1
59,case33bw,2,train,1,0
60,case33bw,35,train,1,2
61,case33bw,20,selection,1,-1
62,case33bw,26,train,1,0
63,case33bw,54,train,1,2
64,case33bw,5,test,1,-1
65,case33bw,51,train,1,2
66,case33bw,1,train,1,1
67,case33bw,33,calibration,1,-1
68,case33bw,41,calibration,1,-1
69,case33bw,8,selection,1,-1
70,case33bw,53,selection,1,-1
71,case33bw,50,train,1,0
72,case33bw,29,calibration,1,-1
73,case33bw,49,train,1,0
74,case33bw,41,calibration,1,-1
75,case33bw,24,train,1,2
76,case33bw,1,train,1,1
77,case33bw,53,selection,1,-1
78,case33bw,12,selection,1,-1
79,case33bw,49,train,1,0
80,case33bw,43,calibration,1,-1
81,case33bw,52,test,1,-1
82,case33bw,32,train,1,0
83,case33bw,25,test,1,-1
84,case33bw,50,train,1,0
85,case33bw,39,test,1,-1
86,case33bw,23,train,1,0
87,case33bw,31,train,1,2
88,case33bw,42,calibration,1,-1
89,case33bw,24,train,1,2
90,case33bw,58,test,1,-1
91,case33bw,30,train,1,2
92,case33bw,36,calibration,1,-1
93,case33bw,27,calibration,1,-1
94,case33bw,5,test,1,-1
95,case33bw,10,train,1,1
96,case33bw,41,calibration,1,-1
97,case33bw,32,train,1,0
98,case33bw,15,selection,1,-1
99,case33bw,41,calibration,1,-1
100,case33bw,22,test,1,-1
101,case33bw,19,test,1,-1
102,case33bw,51,train,1,2
103,case33bw,8,selection,1,-1
104,case33bw,55,train,1,1
105,case33bw,6,train,1,1
106,case33bw,45,train,1,0
107,case33bw,22,test,1,-1
108,case33bw,9,train,1,2
109,case33bw,5,test,1,-1
110,case33bw,52,test,1,-1
111,case33bw,5,test,1,-1
112,case33bw,32,train,1,0
113,case33bw,15,selection,1,-1
114,case33bw,17,test,1,-1
115,case33bw,0,train,1,0
116,case33bw,27,calibration,1,-1
117,case33bw,59,selection,1,-1
118,case33bw,15,selection,1,-1
119,case33bw,38,train,1,1
120,case33bw,48,train,1,0
121,case33bw,46,train,1,1
122,case33bw,22,test,1,-1
123,case33bw,20,selection,1,-1
