from_bus,to_bus,r_ohm,x_ohm,status
1.0,2.0,0.0922,0.047,1.0
2.0,3.0,0.493,0.2511,1.0
3.0,4.0,0.366,0.1864,1.0
4.0,5.0,0.3811,0.1941,1.0
5.0,6.0,0.819,0.707,1.0
6.0,7.0,0.1872,0.6188,1.0
7.0,8.0,0.7114,0.2351,1.0
8.0,9.0,1.03,0.74,1.0
9.0,10.0,1.044,0.74,1.0
10.0,11.0,0.1966,0.065,1.0
11.0,12.0,0.3744,0.1238,1.0
12.0,13.0,1.468,1.155,1.0
13.0,14.0,0.5416,0.7129,1.0
14.0,15.0,0.591,0.526,1.0
15.0,16.0,0.7463,0.545,1.0
16.0,17.0,1.289,1.721,1.0
17.0,18.0,0.732,0.574,1.0
2.0,19.0,0.164,0.1565,1.0
19.0,20.0,1.5042,1.3554,1.0
20.0,21.0,0.4095,0.4784,1.0
21.0,22.0,0.7089,0.9373,1.0
3.0,23.0,0.4512,0.3083,1.0
23.0,24.0,0.898,0.7091,1.0
24.0,25.0,0.896,0.7011,1.0
6.0,26.0,0.203,0.1034,1.0
26.0,27.0,0.2842,0.1447,1.0
27.0,28.0,1.059,0.9337,1.0
28.0,29.0,0.8042,0.7006,1.0
29.0,30.0,0.5075,0.2585,1.0
30.0,31.0,0.9744,0.963,1.0
31.0,32.0,0.3105,0.3619,1.0
32.0,33.0,0.341,0.5302,1.0
21.0,8.0,2.0,2.0,0.0
9.0,15.0,2.0,2.0,0.0
12.0,22.0,2.0,2.0,0.0
18.0,33.0,0.5,0.5,0.0
25.0,29.0,0.5,0.5,0.0
