from_bus,to_bus,r_ohm,x_ohm
1.0,2.0,0.0005,0.0012
2.0,3.0,0.0005,0.0012
3.0,4.0,0.0015,0.0036
4.0,5.0,0.0251,0.0294
5.0,6.0,0.366,0.1864
6.0,7.0,0.381,0.1941
7.0,8.0,0.0922,0.047
8.0,9.0,0.0493,0.0251
9.0,10.0,0.819,0.2707
10.0,11.0,0.1872,0.0619
11.0,12.0,0.7114,0.2351
12.0,13.0,1.03,0.34
13.0,14.0,1.044,0.34
14.0,15.0,1.058,0.3496
15.0,16.0,0.1966,0.065
16.0,17.0,0.3744,0.1238
17.0,18.0,0.0047,0.0016
18.0,19.0,0.3276,0.1083
19.0,20.0,0.2106,0.069
20.0,21.0,0.3416,0.1129
21.0,22.0,0.014,0.0046
22.0,23.0,0.1591,0.0526
23.0,24.0,0.3463,0.1145
24.0,25.0,0.7488,0.2475
25.0,26.0,0.3089,0.1021
26.0,27.0,0.1732,0.0572
3.0,28.0,0.0044,0.0108
28.0,29.0,0.064,0.1565
29.0,30.0,0.3978,0.1315
30.0,31.0,0.0702,0.0232
31.0,32.0,0.351,0.116
32.0,33.0,0.839,0.2816
33.0,34.0,1.708,0.5646
34.0,35.0,1.474,0.4873
3.0,36.0,0.0044,0.0108
36.0,37.0,0.064,0.1565
37.0,38.0,0.1053,0.123
38.0,39.0,0.0304,0.0355
39.0,40.0,0.0018,0.0021
40.0,41.0,0.7283,0.8509
41.0,42.0,0.31,0.3623
42.0,43.0,0.041,0.0478
43.0,44.0,0.0092,0.0116
44.0,45.0,0.1089,0.1373
45.0,46.0,0.0009,0.0012
4.0,47.0,0.0034,0.0084
47.0,48.0,0.0851,0.2083
48.0,49.0,0.2898,0.7091
49.0,50.0,0.0822,0.2011
8.0,51.0,0.0928,0.0473
51.0,52.0,0.3319,0.114
9.0,53.0,0.174,0.0886
53.0,54.0,0.203,0.1034
54.0,55.0,0.2842,0.1447
55.0,56.0,0.2813,0.1433
56.0,57.0,1.59,0.5337
57.0,58.0,0.7837,0.263
58.0,59.0,0.3042,0.1006
59.0,60.0,0.3861,0.1172
60.0,61.0,0.5075,0.2585
61.0,62.0,0.0974,0.0496
62.0,63.0,0.145,0.0738
63.0,64.0,0.7105,0.3619
64.0,65.0,1.041,0.5302
11.0,66.0,0.2012,0.0611
66.0,67.0,0.0047,0.0014
12.0,68.0,0.7394,0.2444
68.0,69.0,0.0047,0.0016
