bus,p_kw,q_kvar
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,2.6,2.2
7,40.4,30.0
8,75.0,54.0
9,30.0,22.0
10,28.0,19.0
11,145.0,104.0
12,145.0,104.0
13,8.0,5.5
14,8.0,5.5
15,0.0,0.0
16,45.5,30.0
17,60.0,35.0
18,60.0,35.0
19,0.0,0.0
20,1.0,0.6
21,114.0,81.0
22,5.3,3.5
23,0.0,0.0
24,28.0,20.0
25,0.0,0.0
26,14.0,10.0
27,14.0,10.0
28,26.0,18.6
29,26.0,18.6
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,14.0,10.0
34,19.5,14.0
35,6.0,4.0
36,26.0,18.6
37,26.0,18.6
38,0.0,0.0
39,24.0,17.0
40,24.0,17.0
41,1.2,1.0
42,0.0,0.0
43,6.0,4.3
44,0.0,0.0
45,39.2,26.3
46,39.2,26.3
47,0.0,0.0
48,79.0,56.4
49,384.7,274.5
50,384.7,274.5
51,40.5,28.3
52,3.6,2.7
53,4.3,3.5
54,26.4,19.0
55,24.0,17.2
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,100.0,72.0
60,0.0,0.0
61,1244.0,888.0
62,32.0,23.0
63,0.0,0.0
64,227.0,162.0
65,59.0,42.0
66,18.0,13.0
67,18.0,13.0
68,28.0,20.0
69,28.0,20.0
